timestamp,rsa,connect_time,read_time
2024-04-06 09:54:59.582370,1024_Sha1,0.18707704544067383,0.19679999351501465
2024-04-06 10:00:57.355435,1024_Sha224,0.3256690502166748,0.38642120361328125
2024-04-06 10:06:55.626165,1024_Sha256,0.1951580047607422,0.20361089706420898
2024-04-06 10:12:54.232546,1024_Sha384,0.1131439208984375,0.11980700492858887
2024-04-06 10:18:52.833543,1024_Sha512,0.15548300743103027,0.16107892990112305
2024-04-06 10:24:51.436644,2048_Sha1,0.16903185844421387,0.1740589141845703
2024-04-06 10:30:49.390114,2048_Sha224,0.23126006126403809,0.23796796798706055
2024-04-06 10:36:47.585363,2048_Sha256,0.20836591720581055,0.21340084075927734
2024-04-06 10:42:45.677365,2048_Sha384,0.21277904510498047,0.221696138381958
2024-04-06 10:48:44.064693,2048_Sha512,0.21355080604553223,0.21900582313537598
2024-04-06 10:54:42.320797,3072_Sha1,0.3040797710418701,0.3090629577636719
2024-04-06 11:00:40.672218,3072_Sha224,0.3270089626312256,0.3345339298248291
2024-04-06 11:06:39.010437,3072_Sha256,0.31967902183532715,0.32549500465393066
2024-04-06 11:12:37.353010,3072_Sha384,0.2852611541748047,0.28922104835510254
2024-04-06 11:18:35.745778,3072_Sha512,0.31946420669555664,0.32373809814453125
2024-04-06 11:24:34.375152,4096_Sha1,0.5056979656219482,0.5099990367889404
2024-04-06 11:30:32.949796,4096_Sha224,0.5060019493103027,0.5111680030822754
2024-04-06 11:36:31.430983,4096_Sha256,0.5011029243469238,0.5060558319091797
2024-04-06 11:42:29.964573,4096_Sha384,0.47365403175354004,0.47861313819885254
2024-04-06 11:48:28.535648,4096_Sha512,0.4899871349334717,0.49395203590393066
