timestamp,cpu_usage,memory_usage
2024-04-06 11:13:07.360319,0.0,318.125
2024-04-06 11:13:07.563247,0.2,318.125
2024-04-06 11:13:07.768599,0.3,318.125
2024-04-06 11:13:07.974285,0.7,318.15625
2024-04-06 11:13:08.177204,20.1,318.1875
2024-04-06 11:13:08.381635,1.1,318.15625
2024-04-06 11:13:08.587731,0.2,318.15625
2024-04-06 11:13:08.792465,0.3,318.15625
2024-04-06 11:13:08.998622,0.7,318.1875
2024-04-06 11:13:09.203462,18.3,318.1875
2024-04-06 11:13:09.408694,1.0,318.15625
2024-04-06 11:13:09.612684,0.1,318.15625
2024-04-06 11:13:09.816191,0.2,318.15625
2024-04-06 11:13:10.019715,4.5,318.1875
2024-04-06 11:13:10.224642,16.2,318.1875
2024-04-06 11:13:10.431214,1.0,318.15625
2024-04-06 11:13:10.636711,0.3,318.15625
2024-04-06 11:13:10.840828,0.2,318.15625
2024-04-06 11:13:11.045904,18.7,318.203125
2024-04-06 11:13:11.252306,2.0,318.203125
2024-04-06 11:13:11.458061,0.4,318.171875
2024-04-06 11:13:11.660661,0.1,318.171875
2024-04-06 11:13:11.864189,0.1,318.171875
2024-04-06 11:13:12.066482,26.5,318.671875
2024-04-06 11:13:12.272386,0.6,318.671875
2024-04-06 11:13:12.574309,3.0,318.828125
2024-04-06 11:13:12.777664,42.5,319.71875
2024-04-06 11:13:12.979567,1.6,319.71875
2024-04-06 11:13:13.184058,19.0,319.71875
2024-04-06 11:13:13.390248,1.0,319.6875
2024-04-06 11:13:13.599014,0.1,319.6875
2024-04-06 11:13:13.807061,3.3,319.6875
2024-04-06 11:13:14.013316,1.6,319.71875
2024-04-06 11:13:14.216177,19.1,319.71875
2024-04-06 11:13:14.420183,1.0,319.6875
2024-04-06 11:13:14.623056,0.1,319.6875
2024-04-06 11:13:14.827542,3.2,319.6875
2024-04-06 11:13:15.033451,10.3,319.71875
2024-04-06 11:13:15.238446,10.2,319.78125
2024-04-06 11:13:15.445172,0.9,319.75
2024-04-06 11:13:15.651320,0.1,319.75
2024-04-06 11:13:15.856886,2.9,319.75
2024-04-06 11:13:16.063526,14.9,320.1875
2024-04-06 11:13:16.269713,1.2,320.1875
2024-04-06 11:13:16.475915,0.9,320.15625
