timestamp,cpu_usage,memory_usage
2024-11-14 16:24:30.635161,8.1,242.3125
2024-11-14 16:24:30.837413,1.8,-0.03125
2024-11-14 16:24:31.042142,3.0,-0.421875
2024-11-14 16:24:31.244127,15.1,-1.109375
2024-11-14 16:24:31.447518,0.8,-1.140625
2024-11-14 16:24:31.650562,4.7,-1.109375
2024-11-14 16:24:31.853446,1.1,-0.625
2024-11-14 16:24:32.055733,2.1,-0.1875
2024-11-14 16:24:32.258739,15.5,-1.125
2024-11-14 16:24:32.466387,4.0,-1.28125
2024-11-14 16:24:32.669612,1.7,-1.28125
2024-11-14 16:24:32.876495,1.6,-1.3125
2024-11-14 16:24:33.083329,25.4,-1.28125
2024-11-14 16:24:33.287731,7.5,-1.25
2024-11-14 16:24:33.493372,9.7,-1.25
2024-11-14 16:24:33.699571,0.6,-1.25
2024-11-14 16:24:33.904142,1.5,-1.28125
2024-11-14 16:24:34.112649,26.6,-1.203125
2024-11-14 16:24:34.317622,0.6,-1.203125
2024-11-14 16:24:34.522792,9.8,-1.203125
2024-11-14 16:24:34.726031,0.6,-1.203125
2024-11-14 16:24:34.929335,1.0,-1.234375
2024-11-14 16:24:35.134463,27.2,-1.15625
2024-11-14 16:24:35.339517,0.6,-1.125
2024-11-14 16:24:35.544493,8.8,-1.125
2024-11-14 16:24:35.877864,6.1,6.21875
2024-11-14 16:24:36.079996,82.7,32.40625
2024-11-14 16:24:36.282491,73.7,44.015625
2024-11-14 16:24:36.485673,10.7,44.015625
2024-11-14 16:24:36.690288,0.7,44.015625
2024-11-14 16:24:36.895929,1.5,44.0
2024-11-14 16:24:37.099821,19.9,44.15625
2024-11-14 16:24:37.302671,0.5,44.15625
2024-11-14 16:24:37.506832,5.1,44.15625
2024-11-14 16:24:37.711591,0.7,44.15625
2024-11-14 16:24:37.916566,1.5,44.125
2024-11-14 16:24:38.121019,18.6,44.53125
2024-11-14 16:24:38.324299,1.6,44.5
2024-11-14 16:24:38.530138,8.9,44.546875
2024-11-14 16:24:38.735753,0.6,44.546875
2024-11-14 16:24:38.940787,1.0,44.515625
2024-11-14 16:24:39.143891,18.1,44.671875
2024-11-14 16:24:39.347009,3.0,44.671875
2024-11-14 16:24:39.549607,4.2,44.703125
2024-11-14 16:24:39.753238,0.8,44.671875
2024-11-14 16:24:39.956222,0.5,44.671875
2024-11-14 16:24:40.160449,32.3,44.796875
2024-11-14 16:24:40.363661,1.6,44.765625
2024-11-14 16:24:40.568949,9.0,44.796875
2024-11-14 16:24:40.775289,1.0,44.734375
2024-11-14 16:24:40.978284,0.2,44.734375
2024-11-14 16:24:41.181756,23.6,44.828125
2024-11-14 16:24:41.387164,1.4,44.796875
2024-11-14 16:24:41.592591,8.4,44.828125
2024-11-14 16:24:41.797542,1.4,44.796875
2024-11-14 16:24:42.002003,0.4,44.796875
2024-11-14 16:24:42.210225,24.9,44.84375
2024-11-14 16:24:42.413099,1.5,44.8125
2024-11-14 16:24:42.617357,4.2,44.84375
2024-11-14 16:24:42.819755,0.9,44.796875
2024-11-14 16:24:43.022973,8.1,44.828125
2024-11-14 16:24:43.227068,13.9,44.90625
2024-11-14 16:24:43.432170,1.4,44.875
2024-11-14 16:24:43.636991,8.5,44.90625
2024-11-14 16:24:43.842014,1.5,44.875
2024-11-14 16:24:44.046725,11.6,44.90625
2024-11-14 16:24:44.251285,20.3,45.0
2024-11-14 16:24:44.455884,2.0,44.984375
2024-11-14 16:24:44.660056,7.6,45.0
2024-11-14 16:24:44.863247,1.0,44.96875
2024-11-14 16:24:45.066848,21.6,45.109375
2024-11-14 16:24:45.271697,14.3,45.359375
2024-11-14 16:24:45.477341,8.7,45.375
2024-11-14 16:24:45.681277,1.1,45.375
2024-11-14 16:24:45.886041,1.4,45.34375
2024-11-14 16:24:46.091653,24.6,45.390625
2024-11-14 16:24:46.296073,14.1,45.484375
2024-11-14 16:24:46.501089,10.0,45.484375
2024-11-14 16:24:46.706655,0.9,45.484375
2024-11-14 16:24:46.910526,1.3,45.453125
2024-11-14 16:24:47.112947,29.8,45.5
2024-11-14 16:24:47.316716,1.5,45.578125
2024-11-14 16:24:47.522007,9.7,45.578125
2024-11-14 16:24:47.727096,0.6,45.578125
2024-11-14 16:24:47.931623,1.3,45.546875
2024-11-14 16:24:48.135967,20.8,45.578125
2024-11-14 16:24:48.339185,4.8,45.65625
2024-11-14 16:24:48.543034,4.0,45.6875
2024-11-14 16:24:48.746785,1.5,45.65625
2024-11-14 16:24:48.951171,0.4,45.65625
2024-11-14 16:24:49.154022,27.4,45.71875
2024-11-14 16:24:49.357562,1.5,45.6875
2024-11-14 16:24:49.563082,8.8,45.71875
2024-11-14 16:24:49.768406,1.7,45.6875
2024-11-14 16:24:49.973545,0.3,45.6875
2024-11-14 16:24:50.177980,27.9,45.578125
2024-11-14 16:24:50.381576,1.4,45.546875
2024-11-14 16:24:50.586394,8.7,45.578125
2024-11-14 16:24:50.790887,1.6,45.546875
2024-11-14 16:24:50.995906,0.3,45.546875
2024-11-14 16:24:51.205738,31.9,45.6875
2024-11-14 16:24:51.408767,2.1,45.65625
2024-11-14 16:24:51.613826,8.2,45.6875
2024-11-14 16:24:51.818956,1.8,45.65625
2024-11-14 16:24:52.025078,6.9,45.703125
2024-11-14 16:24:52.229785,16.5,44.265625
2024-11-14 16:24:52.433529,1.4,44.234375
2024-11-14 16:24:52.638337,8.8,44.265625
2024-11-14 16:24:52.843805,1.6,44.234375
2024-11-14 16:24:53.051273,15.3,44.28125
2024-11-14 16:24:53.255190,12.7,43.71875
2024-11-14 16:24:53.458795,1.8,43.703125
2024-11-14 16:24:53.662934,8.1,43.78125
2024-11-14 16:24:53.866036,0.7,43.75
2024-11-14 16:24:54.068467,20.5,43.828125
2024-11-14 16:24:54.271524,5.4,43.9375
2024-11-14 16:24:54.475671,7.0,43.9375
2024-11-14 16:24:54.680942,3.3,43.9375
2024-11-14 16:24:54.884586,1.1,43.90625
2024-11-14 16:24:55.090127,26.8,44.09375
2024-11-14 16:24:55.295342,1.8,44.15625
2024-11-14 16:24:55.501698,8.8,44.15625
2024-11-14 16:24:55.707294,0.7,44.15625
2024-11-14 16:24:55.912054,1.5,44.125
2024-11-14 16:24:56.117376,27.9,44.25
2024-11-14 16:24:56.320974,1.9,44.28125
2024-11-14 16:24:56.525611,9.3,44.28125
2024-11-14 16:24:56.730798,0.8,44.28125
2024-11-14 16:24:56.936108,1.4,44.25
2024-11-14 16:24:57.142816,31.0,44.390625
2024-11-14 16:24:57.366955,17.1,44.953125
2024-11-14 16:24:57.570228,10.0,44.953125
2024-11-14 16:24:57.775989,1.6,44.921875
