timestamp,rsa,connect_time,read_time
2024-11-12 13:59:03.673125,4096,0.794058084487915,0.9126551151275635
2024-11-12 14:04:31.075444,1024,1.0451619625091553,1.2959389686584473
2024-11-12 14:09:58.774558,1024,0.637686014175415,1.3706059455871582
2024-11-12 14:15:26.323339,4096,0.7192730903625488,0.8491091728210449
2024-11-12 14:20:53.827847,4096,1.017746925354004,1.4403939247131348
2024-11-12 14:26:21.460670,4096,0.5456979274749756,0.5777220726013184
2024-11-12 14:31:47.515344,4096,0.7490658760070801,0.9521360397338867
2024-11-12 14:37:14.983218,4096,0.774738073348999,1.3402040004730225
2024-11-12 14:42:42.041653,4096,0.7557151317596436,1.2011950016021729
2024-11-12 14:48:08.937370,4096,0.6703939437866211,0.7727739810943604
2024-11-12 14:53:35.827873,4096,0.518996000289917,0.5509669780731201
