timestamp,cpu_usage,memory_usage
2024-11-13 18:31:43.488138,0.4,368.859375
2024-11-13 18:31:43.690555,0.1,0.0
2024-11-13 18:31:43.894625,0.5,0.015625
2024-11-13 18:31:44.098255,26.4,0.03125
2024-11-13 18:31:44.304016,1.0,0.03125
2024-11-13 18:31:44.509742,0.7,0.0
2024-11-13 18:31:44.714903,0.4,0.0
2024-11-13 18:31:44.920345,3.0,-0.296875
2024-11-13 18:31:45.125682,29.9,-0.296875
2024-11-13 18:31:45.332165,1.1,-0.328125
2024-11-13 18:31:45.537656,0.4,-0.328125
2024-11-13 18:31:45.743985,0.2,-0.328125
2024-11-13 18:31:45.950144,3.7,-0.296875
2024-11-13 18:31:46.153714,22.3,-0.296875
2024-11-13 18:31:46.358130,0.7,-0.328125
2024-11-13 18:31:46.563445,0.3,-0.328125
2024-11-13 18:31:46.769009,0.2,-0.328125
2024-11-13 18:31:46.974028,3.7,-0.296875
2024-11-13 18:31:47.178506,23.6,-0.25
2024-11-13 18:31:47.383695,0.9,-0.328125
2024-11-13 18:31:47.590136,0.3,-0.328125
2024-11-13 18:31:47.796123,0.2,-0.328125
2024-11-13 18:31:48.000618,4.0,-0.296875
2024-11-13 18:31:48.204704,26.1,-5.953125
2024-11-13 18:31:48.407578,0.9,-5.984375
2024-11-13 18:31:48.610609,25.0,4.96875
2024-11-13 18:31:48.812252,95.8,20.8125
2024-11-13 18:31:49.015051,70.8,32.234375
2024-11-13 18:31:49.218073,47.2,36.171875
2024-11-13 18:31:49.421697,51.8,39.484375
2024-11-13 18:31:49.625293,16.7,41.84375
2024-11-13 18:31:49.829373,1.6,41.84375
2024-11-13 18:31:50.034131,9.4,41.890625
2024-11-13 18:31:50.239074,13.7,41.90625
2024-11-13 18:31:50.444839,0.9,41.875
2024-11-13 18:31:50.649665,0.2,41.875
2024-11-13 18:31:50.853399,0.8,41.875
2024-11-13 18:31:51.056872,28.3,41.9375
2024-11-13 18:31:51.261970,11.2,41.9375
2024-11-13 18:31:51.468305,0.8,41.90625
2024-11-13 18:31:51.682621,0.2,41.90625
2024-11-13 18:31:51.888412,5.1,41.96875
2024-11-13 18:31:52.090570,36.7,42.015625
2024-11-13 18:31:52.296091,0.8,42.015625
2024-11-13 18:31:52.501537,0.9,41.984375
2024-11-13 18:31:52.707016,0.2,41.984375
2024-11-13 18:31:52.910567,5.0,42.03125
2024-11-13 18:31:53.113538,22.3,42.046875
2024-11-13 18:31:53.319223,1.3,42.015625
2024-11-13 18:31:53.524717,0.3,42.015625
2024-11-13 18:31:53.729717,0.2,42.015625
2024-11-13 18:31:53.935228,5.0,42.0625
2024-11-13 18:31:54.139996,26.4,42.0625
2024-11-13 18:31:54.344164,1.1,42.03125
2024-11-13 18:31:54.548626,0.2,42.03125
2024-11-13 18:31:54.752257,0.2,42.03125
2024-11-13 18:31:54.955749,6.4,42.09375
2024-11-13 18:31:55.158463,25.0,42.125
2024-11-13 18:31:55.363399,1.0,42.09375
2024-11-13 18:31:55.569643,0.3,42.09375
2024-11-13 18:31:55.776028,1.2,42.09375
2024-11-13 18:31:55.981622,3.5,42.140625
2024-11-13 18:31:56.185041,24.5,42.171875
2024-11-13 18:31:56.391529,1.1,42.140625
2024-11-13 18:31:56.596717,0.2,42.140625
2024-11-13 18:31:56.799723,1.3,42.140625
2024-11-13 18:31:57.004708,4.1,42.171875
2024-11-13 18:31:57.207938,27.5,42.1875
2024-11-13 18:31:57.413557,0.8,42.15625
2024-11-13 18:31:57.619435,0.2,42.15625
2024-11-13 18:31:57.824784,5.3,42.1875
2024-11-13 18:31:58.027686,7.1,42.21875
2024-11-13 18:31:58.231032,10.6,42.234375
2024-11-13 18:31:58.433470,0.7,42.203125
2024-11-13 18:31:58.638226,0.3,42.203125
2024-11-13 18:31:58.841840,1.6,42.203125
2024-11-13 18:31:59.045836,20.8,42.234375
2024-11-13 18:31:59.251292,7.4,42.234375
2024-11-13 18:31:59.456092,0.9,42.203125
2024-11-13 18:31:59.661460,0.3,42.203125
2024-11-13 18:31:59.866880,1.3,42.203125
2024-11-13 18:32:00.075791,17.3,42.25
2024-11-13 18:32:00.278834,0.5,42.25
2024-11-13 18:32:00.481597,0.3,42.21875
2024-11-13 18:32:00.685450,0.2,42.21875
2024-11-13 18:32:00.888739,3.4,42.234375
2024-11-13 18:32:01.092396,29.2,42.265625
2024-11-13 18:32:01.297287,0.8,42.265625
2024-11-13 18:32:01.502995,0.8,42.234375
2024-11-13 18:32:01.708601,0.3,42.234375
2024-11-13 18:32:01.914138,4.3,42.265625
2024-11-13 18:32:02.116494,21.9,42.265625
2024-11-13 18:32:02.321758,1.1,42.234375
2024-11-13 18:32:02.526521,0.4,42.234375
2024-11-13 18:32:02.732392,0.2,42.234375
2024-11-13 18:32:02.935841,4.3,42.265625
2024-11-13 18:32:03.138747,32.7,42.265625
2024-11-13 18:32:03.343778,1.2,42.234375
2024-11-13 18:32:03.549225,0.4,42.234375
2024-11-13 18:32:03.753191,0.3,42.234375
2024-11-13 18:32:03.960348,8.6,42.265625
2024-11-13 18:32:04.165181,26.7,42.296875
2024-11-13 18:32:04.369270,1.0,42.265625
2024-11-13 18:32:04.573920,0.4,42.265625
2024-11-13 18:32:04.779190,0.3,42.265625
2024-11-13 18:32:04.983384,3.6,42.3125
2024-11-13 18:32:05.188716,27.4,42.3125
2024-11-13 18:32:05.392956,1.1,42.28125
2024-11-13 18:32:05.600149,0.5,42.34375
