timestamp,rsa,connect_time,read_time
2024-07-07 12:54:23.285400,2048,0.2764880657196045,0.3051490783691406
2024-07-07 12:59:50.478951,4096,0.8267569541931152,0.8801171779632568
2024-07-07 13:05:18.127324,4096,1.1082050800323486,1.3709089756011963
2024-07-07 13:10:45.589698,2048,0.3480551242828369,0.6379389762878418
2024-07-07 13:16:13.027841,2048,0.4064347743988037,0.6685049533843994
2024-07-07 13:21:40.575232,2048,0.39697909355163574,0.6431930065155029
2024-07-07 13:27:07.947359,2048,0.38730907440185547,0.5518310070037842
2024-07-07 13:32:35.621633,2048,0.32711195945739746,0.4781060218811035
2024-07-07 13:38:02.958235,2048,0.30516815185546875,0.41723203659057617
2024-07-07 13:43:30.666444,2048,0.3766059875488281,0.5547671318054199
2024-07-07 13:48:58.011153,2048,0.2777431011199951,0.35829901695251465
