timestamp,cpu_usage,memory_usage
2024-11-12 11:57:15.126946,0.0,313.765625
2024-11-12 11:57:15.328784,3.8,0.375
2024-11-12 11:57:15.533640,0.7,0.375
2024-11-12 11:57:15.735832,0.7,0.34375
2024-11-12 11:57:15.941264,0.4,0.359375
2024-11-12 11:57:16.144968,20.6,1.96875
2024-11-12 11:57:16.349911,6.9,2.0
2024-11-12 11:57:16.554008,0.9,1.96875
2024-11-12 11:57:16.757881,1.5,2.84375
2024-11-12 11:57:16.961898,0.2,2.84375
2024-11-12 11:57:17.167628,17.9,4.015625
2024-11-12 11:57:17.370233,3.1,4.03125
2024-11-12 11:57:17.572599,0.5,4.0
2024-11-12 11:57:17.775074,0.2,4.0
2024-11-12 11:57:17.977696,0.1,4.0
2024-11-12 11:57:18.181776,14.6,5.375
2024-11-12 11:57:18.384176,3.0,5.375
2024-11-12 11:57:18.587031,0.7,5.34375
2024-11-12 11:57:18.791483,0.5,5.34375
2024-11-12 11:57:18.995480,0.1,5.34375
2024-11-12 11:57:19.198014,15.0,-0.796875
2024-11-12 11:57:19.401702,4.1,-0.78125
2024-11-12 11:57:19.608342,0.6,-1.0
2024-11-12 11:57:19.825720,0.4,-0.96875
2024-11-12 11:57:20.027761,4.5,0.40625
2024-11-12 11:57:20.405101,58.4,43.671875
2024-11-12 11:57:20.607452,78.4,47.203125
2024-11-12 11:57:20.812276,27.9,48.65625
2024-11-12 11:57:21.014679,29.4,47.296875
2024-11-12 11:57:21.218871,47.4,47.78125
2024-11-12 11:57:21.421269,52.9,51.109375
2024-11-12 11:57:21.625713,35.9,56.484375
2024-11-12 11:57:21.829111,10.6,56.65625
2024-11-12 11:57:22.032882,13.6,56.953125
2024-11-12 11:57:22.236574,25.0,59.09375
2024-11-12 11:57:22.448754,8.6,57.484375
2024-11-12 11:57:22.652504,15.5,58.640625
2024-11-12 11:57:22.856532,17.2,52.015625
2024-11-12 11:57:23.059305,12.2,54.40625
2024-11-12 11:57:23.262678,103.7,76.171875
2024-11-12 11:57:23.464475,151.8,93.625
2024-11-12 11:57:23.666990,99.8,101.40625
2024-11-12 11:57:23.869393,73.6,106.5
2024-11-12 11:57:24.072070,52.4,106.828125
