timestamp,generation,rsa,signature,connect_time,read_time
2024-11-12 20:23:29.653274,0,3072,Sha256,0.40569281578063965,0.4731919765472412
2024-11-12 20:28:57.909861,0,4096,Sha224,0.6697509288787842,0.710777997970581
2024-11-12 20:34:25.135070,0,3072,Sha224,0.4860727787017822,0.5579559803009033
2024-11-12 20:39:52.832103,0,4096,Sha1,0.5718660354614258,0.625342845916748
2024-11-12 20:45:20.051997,0,1024,Sha224,0.2832667827606201,0.41179394721984863
2024-11-12 20:50:48.127453,1,3072,Sha256,0.3894460201263428,0.4966130256652832
2024-11-12 20:56:15.470067,1,3072,Sha256,0.37721896171569824,0.45607590675354004
2024-11-12 21:01:43.708218,1,3072,Sha256,0.3995089530944824,0.47062182426452637
2024-11-12 21:07:10.953316,1,3072,Sha256,0.35295891761779785,0.40198183059692383
2024-11-12 21:12:39.299928,2,3072,Sha256,0.36485981941223145,0.42636585235595703
2024-11-12 21:18:06.498366,2,3072,Sha256,0.4951789379119873,0.5955071449279785
2024-11-12 21:23:33.753173,2,3072,Sha256,0.3915870189666748,0.48227405548095703
2024-11-12 21:29:01.303461,2,3072,Sha256,0.381911039352417,0.43663501739501953
2024-11-12 21:34:28.491716,3,3072,Sha256,0.3072071075439453,0.36041712760925293
2024-11-12 21:39:55.669581,3,3072,Sha256,0.38469910621643066,0.43593716621398926
2024-11-12 21:45:23.097345,3,3072,Sha256,0.3571929931640625,0.4151918888092041
2024-11-12 21:50:51.512295,3,3072,Sha256,0.42548418045043945,0.5272262096405029
2024-11-12 21:56:19.827482,4,3072,Sha256,0.4255638122558594,0.5197830200195312
2024-11-12 22:01:48.224566,4,3072,Sha256,0.4011709690093994,0.45569801330566406
2024-11-12 22:07:16.600677,4,3072,Sha256,0.3576018810272217,0.43408894538879395
2024-11-12 22:12:44.795678,4,3072,Sha256,0.4122741222381592,0.4842870235443115
2024-11-12 22:18:12.304293,5,3072,Sha256,0.6168529987335205,0.8443038463592529
2024-11-12 22:23:39.745883,5,3072,Sha256,0.39395689964294434,0.4415597915649414
2024-11-12 22:29:07.621244,5,3072,Sha256,0.39412593841552734,0.4441699981689453
2024-11-12 22:34:35.945634,5,3072,Sha256,0.42195892333984375,0.5012269020080566
2024-11-12 22:40:04.366679,6,3072,Sha256,0.44429993629455566,0.5871438980102539
2024-11-12 22:45:32.660807,6,3072,Sha256,0.3689579963684082,0.43593406677246094
2024-11-12 22:51:01.197878,6,3072,Sha256,0.4222078323364258,0.4917018413543701
2024-11-12 22:56:29.704662,6,3072,Sha256,0.40264892578125,0.4511740207672119
2024-11-12 23:01:58.252586,7,3072,Sha256,0.453402042388916,0.5548908710479736
2024-11-12 23:07:26.944404,7,3072,Sha256,0.4440128803253174,0.5303759574890137
2024-11-12 23:12:55.618599,7,3072,Sha384,0.3846290111541748,0.42638206481933594
2024-11-12 23:18:24.098677,7,3072,Sha256,0.5194668769836426,0.6426820755004883
2024-11-12 23:23:52.503157,8,2048,Sha256,0.3251359462738037,0.3785400390625
2024-11-12 23:29:21.024243,8,3072,Sha384,0.5076107978820801,0.6203558444976807
2024-11-12 23:34:49.458589,8,1024,Sha384,0.23219704627990723,0.32512903213500977
2024-11-12 23:40:18.084779,8,3072,Sha384,0.31989502906799316,0.3615701198577881
2024-11-12 23:45:46.661488,9,2048,Sha384,0.2609570026397705,0.3004038333892822
2024-11-12 23:51:15.271332,9,1024,Sha256,0.4045839309692383,0.5021319389343262
2024-11-12 23:56:43.801487,9,2048,Sha256,0.26900386810302734,0.33897995948791504
2024-11-13 00:02:12.299825,9,2048,Sha256,0.5076179504394531,0.5775117874145508
